dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
2011-01-01,1,0,1,0,0,5,0,2,0.2232,0.1932,0.6165,0.2244,4,8,12
2011-01-01,1,0,1,1,0,5,0,2,0.2185,0.2244,0.9353,0.2241,4,10,14
2011-01-01,1,0,1,2,0,5,0,1,0.2692,0.2343,0.4054,0.2796,2,6,8
2011-01-01,1,0,1,3,0,5,0,1,0.3208,0.3419,0.7548,0.3287,7,13,20
2011-01-01,1,0,1,4,0,5,0,1,0.2632,0.2761,0.5843,0.1383,5,17,22
2011-01-01,1,0,1,5,0,5,0,1,0.2712,0.2594,0.4612,0.1908,2,4,6
2011-01-01,1,0,1,6,0,5,0,2,0.3465,0.3389,0.5627,0.1645,1,4,5
2011-01-01,1,0,1,7,0,5,0,1,0.3113,0.3079,0.6466,0.0914,0,2,2
2011-01-01,1,0,1,8,0,5,0,1,0.2538,0.2152,0.7284,0.2252,2,5,7
2011-01-01,1,0,1,9,0,5,0,1,0.2816,0.2773,0.794,0.2422,12,27,39
2011-01-01,1,0,1,10,0,5,0,1,0.2248,0.1899,0.7697,0.0938,14,37,51
2011-01-01,1,0,1,11,0,5,0,1,0.2054,0.1962,0.5329,0.15,8,15,23
2011-01-01,1,0,1,12,0,5,0,1,0.213,0.1932,0.7417,0.1422,4,8,12
2011-01-01,1,0,1,13,0,5,0,1,0.1061,0.1088,0.6785,0.0593,4,10,14
2011-01-01,1,0,1,14,0,5,0,1,0.0943,0.1039,0.5751,0.1771,0,4,4
2011-01-01,1,0,1,15,0,5,0,1,0.1243,0.0867,0.6164,0.0884,13,27,40
2011-01-01,1,0,1,16,0,5,0,1,0.0935,0.1046,0.5697,0.1927,17,32,49
2011-01-01,1,0,1,17,0,5,0,1,0.1386,0.092,0.6398,0.2015,14,25,39
2011-01-01,1,0,1,18,0,5,0,3,0.087,0.0991,0.5683,0.2114,4,7,11
2011-01-01,1,0,1,19,0,5,0,1,0.0696,0.0556,0.5402,0.2153,4,12,16
2011-01-01,1,0,1,20,0,5,0,1,0.1927,0.2,0.6786,0.3025,10,18,28
2011-01-01,1,0,1,21,0,5,0,1,0.1377,0.0977,0.6991,0.1153,16,29,45
2011-01-01,1,0,1,22,0,5,0,3,0.166,0.1522,0.6146,0.1193,1,5,6
2011-01-01,1,0,1,23,0,5,0,1,0.1256,0.1199,0.7742,0.2324,12,22,34
2011-01-02,1,0,1,0,0,6,0,1,0.1821,0.1344,0.6057,0.1694,3,6,9
2011-01-02,1,0,1,1,0,6,0,2,0.229,0.2189,0.5968,0.27,1,2,3
2011-01-02,1,0,1,2,0,6,0,2,0.1978,0.1785,0.6963,0.2249,8,18,26
2011-01-02,1,0,1,3,0,6,0,3,0.2755,0.2929,0.6092,0.3334,2,5,7
2011-01-02,1,0,1,4,0,6,0,2,0.2491,0.2496,0.6336,0.1727,7,13,20
2011-01-02,1,0,1,5,0,6,0,1,0.2695,0.2951,0.371,0.0614,3,7,10
2011-01-02,1,0,1,6,0,6,0,1,0.2598,0.2281,0.6257,0.2073,7,17,24
2011-01-02,1,0,1,7,0,6,0,1,0.3553,0.3569,0.4318,0.1743,8,22,30
2011-01-02,1,0,1,8,0,6,0,2,0.2726,0.2588,0.5006,0.2228,2,6,8
2011-01-02,1,0,1,9,0,6,0,1,0.2181,0.1999,0.4947,0.233,5,11,16
2011-01-02,1,0,1,10,0,6,0,2,0.2768,0.2678,0.5181,0.1372,15,24,39
2011-01-02,1,0,1,11,0,6,0,1,0.1758,0.1801,0.5775,0.0993,8,18,26
2011-01-02,1,0,1,12,0,6,0,1,0.2122,0.2079,0.5801,0.1683,14,30,44
2011-01-02,1,0,1,13,0,6,0,1,0.1048,0.0976,0.7059,0.0105,13,24,37
2011-01-02,1,0,1,14,0,6,0,3,0.1108,0.089,0.6612,0.1865,5,8,13
2011-01-02,1,0,1,15,0,6,0,1,0.1552,0.1604,0.4444,0.1474,14,20,34
2011-01-02,1,0,1,16,0,6,0,2,0.1641,0.1638,0.6419,0.2489,3,9,12
2011-01-02,1,0,1,17,0,6,0,1,0.1335,0.1274,0.6685,0.0211,6,15,21
2011-01-02,1,0,1,18,0,6,0,1,0.1193,0.0729,0.6052,0.1805,1,2,3
2011-01-02,1,0,1,19,0,6,0,1,0.1146,0.0958,0.6325,0.3061,0,4,4
2011-01-02,1,0,1,20,0,6,0,2,0.0755,0.0572,0.6615,0.234,7,18,25
2011-01-02,1,0,1,21,0,6,0,2,0.1185,0.1472,0.7146,0.2585,10,20,30
2011-01-02,1,0,1,22,0,6,0,1,0.1455,0.1258,0.478,0.2072,1,2,3
2011-01-02,1,0,1,23,0,6,0,2,0.2255,0.2487,0.603,0.0471,10,21,31
2011-01-03,1,0,1,0,0,0,1,1,0.2182,0.2325,0.779,0.1933,0,4,4
2011-01-03,1,0,1,1,0,0,1,1,0.1547,0.1323,0.7762,0.2127,0,9,9
2011-01-03,1,0,1,2,0,0,1,1,0.2575,0.2095,0.7093,0.0937,0,9,9
2011-01-03,1,0,1,3,0,0,1,1,0.2457,0.2056,0.6791,0.1699,1,10,11
2011-01-03,1,0,1,4,0,0,1,1,0.2467,0.2528,0.7908,0.0521,0,2,2
2011-01-03,1,0,1,5,0,0,1,1,0.3062,0.2795,0.8112,0.1533,0,8,8
