default,student,balance,income
No,Yes,814.89,57369.15
No,Yes,0.0,39337.3
No,No,426.12,34802.89
No,No,0.0,8664.46
No,No,1388.05,29816.75
No,No,0.0,28784.93
No,No,498.62,32412.56
No,No,1150.89,25154.32
No,Yes,961.15,32931.64
No,No,34.37,27151.82
No,No,1865.62,15994.3
No,No,892.29,45313.32
No,No,1257.67,45269.26
No,No,1017.22,56314.87
No,No,521.91,34183.25
No,No,507.46,28119.22
No,No,1407.82,26243.08
No,No,323.74,12892.18
No,No,453.18,46616.85
No,Yes,990.4,18832.16
No,No,35.95,17712.22
No,No,895.26,30773.45
No,Yes,1043.69,53335.27
No,No,321.1,36672.85
No,No,930.61,19862.8
No,No,576.93,24007.52
No,No,662.33,41854.27
No,Yes,50.19,31375.39
No,No,1107.55,23262.8
No,No,527.32,30448.31
No,No,1495.42,43452.07
No,No,76.27,59869.41
No,No,1050.87,16924.37
No,No,933.3,25162.1
No,Yes,894.9,22796.98
No,Yes,796.66,1255.11
No,No,629.91,21196.31
No,No,976.8,19861.59
No,No,994.33,48505.37
No,No,1171.65,31756.79
No,No,670.77,11867.87
No,No,1170.32,42140.06
No,No,499.87,28764.77
No,No,241.47,10269.47
No,No,1136.45,25559.08
No,No,310.49,25666.51
No,No,1262.05,21861.91
No,No,967.41,33912.26
No,Yes,704.77,3533.23
No,Yes,494.66,29945.13
No,No,1101.69,47027.81
No,No,1124.73,44888.91
No,No,1048.48,48294.79
No,No,435.99,48444.19
No,No,802.05,53353.88
No,No,1144.36,18602.34
No,Yes,1207.17,44796.03
No,No,252.31,8699.18
No,Yes,784.37,25475.92
No,No,1144.7,7984.6
No,Yes,699.27,47494.1
No,No,656.56,51302.73
No,Yes,955.87,30883.28
No,No,1059.73,57182.67
No,No,1364.51,24517.83
No,No,1052.64,35524.63
No,No,0.0,35555.68
No,Yes,1108.14,19323.89
No,Yes,887.43,39356.46
No,Yes,312.7,59374.22
No,Yes,571.86,19847.52
No,No,0.0,45509.58
No,Yes,545.83,31455.5
No,No,1393.21,57115.75
No,No,629.95,39967.8
No,No,920.06,42534.02
No,No,0.0,42093.23
No,No,1156.99,36837.82
No,Yes,245.72,14902.1
No,No,845.59,52075.22
No,Yes,1458.11,15236.76
No,No,0.0,36697.48
No,No,658.01,41705.33
No,Yes,117.21,22341.6
No,No,1039.57,35450.56
No,No,778.05,49090.88
No,Yes,1801.47,33194.54
No,No,1275.82,21664.86
No,No,1262.62,772.0
No,Yes,759.64,20555.54
No,Yes,741.38,25633.37
No,No,1461.05,26629.06
No,No,724.18,20713.49
No,No,882.55,38547.61
No,No,836.7,25851.69
No,No,0.0,32056.32
No,No,1047.06,42572.1
No,No,1046.49,22107.89
No,Yes,1272.71,29512.45
No,No,390.62,62297.08
No,No,1387.5,45175.47
No,Yes,726.87,16265.4
No,Yes,1554.26,32452.57
No,No,801.84,41043.98
No,No,0.0,49965.57
No,No,950.49,35502.88
No,Yes,1211.96,26440.16
No,Yes,76.0,23773.7
No,No,518.79,42118.55
No,No,355.7,37690.97
No,No,1019.63,26625.98
No,No,983.44,30994.54
No,No,1374.69,27965.58
No,No,274.52,43180.03
No,No,555.71,24314.68
No,No,1235.71,40002.82
No,No,0.0,44871.86
No,No,690.14,40000.62
No,Yes,931.12,22390.58
No,No,778.21,51452.82
No,No,516.04,24471.36
No,No,1522.9,39202.94
No,Yes,175.38,23469.53
Yes,Yes,1254.99,10256.55
No,No,874.32,36526.61
No,Yes,1486.28,37343.9
No,No,629.65,32483.25
No,No,976.37,37197.65
No,No,305.22,24868.79
No,No,832.77,23681.17
No,Yes,1297.55,31274.35
No,No,806.81,58978.12
No,No,1311.6,44382.37
No,No,1148.12,26581.39
No,Yes,784.89,40967.0
No,No,696.33,27136.53
No,No,851.06,27417.97
No,No,978.69,44975.41
No,No,1502.77,26511.07
No,Yes,935.81,11169.74
No,No,240.02,21426.99
No,No,1791.99,34695.11
No,Yes,894.57,35223.11
No,Yes,824.32,50074.2
No,No,960.33,23967.08
No,No,1357.95,43270.83
No,No,1275.45,39196.69
No,Yes,576.36,31528.75
