year,age,maritl,race,education,region,jobclass,health,health_ins,logwage,wage
2005,65,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8343,125.746
2009,22,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5414,93.82
2006,43,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.9203,137.039
2004,72,3. Widowed,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4267,83.658
2005,21,1. Never Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.4768,87.955
2004,37,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.613,100.783
2005,41,3. Widowed,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.7367,114.058
2005,57,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.9205,137.066
2007,46,1. Never Married,3. Asian,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.7529,115.925
2008,75,4. Divorced,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,1. No,4.5,90.021
2008,32,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.4062,81.957
2009,41,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.7062,110.63
2007,26,4. Divorced,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7569,116.38
2008,43,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8275,124.893
2003,64,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. No,4.8826,131.968
2004,60,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.4676,87.145
2006,44,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8223,124.254
2009,26,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.4636,86.796
2006,57,4. Divorced,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. No,4.9866,146.438
2004,56,2. Married,1. White,4. College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. No,4.6838,108.176
2008,22,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.5229,92.1
2006,66,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6054,100.023
2008,25,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7772,118.772
2004,62,2. Married,2. Black,1. < HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.6322,102.745
2003,18,5. Separated,1. White,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,5.0518,156.3
2006,29,5. Separated,2. Black,4. College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.8771,131.245
2004,73,2. Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4642,86.848
2009,76,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6906,108.919
2007,24,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7804,119.15
2005,37,2. Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.7731,118.281
2003,78,4. Divorced,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7772,118.771
2008,62,2. Married,2. Black,1. < HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.7185,112.003
2007,23,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.3175,75.004
2005,74,1. Never Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.4519,85.788
2007,42,5. Separated,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.8216,124.161
2004,73,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.6321,102.731
2007,71,2. Married,2. Black,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.6941,109.303
2007,66,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.9024,134.61
2005,77,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.2887,72.875
2003,79,1. Never Married,1. White,2. HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.2296,68.686
2006,18,1. Never Married,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.6874,108.566
2006,52,3. Widowed,1. White,3. Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.5856,98.066
2004,74,2. Married,1. White,5. Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. Yes,4.7302,113.323
2007,27,5. Separated,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.8705,130.387
2003,32,4. Divorced,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.5248,92.28
2004,56,2. Married,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. Yes,4.7289,113.176
2008,22,2. Married,1. White,1. < HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.621,101.599
2003,64,2. Married,1. White,3. Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. Yes,4.3177,75.014
2003,27,4. Divorced,1. White,4. College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. No,4.9437,140.284
2007,41,2. Married,1. White,2. HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. Yes,4.7249,112.724
