age,education_num,hours_per_week,capital_gain,capital_loss,sex,income_bin
42,7,10,0,0,1,0
46,6,26,0,0,0,0
28,10,51,0,0,1,0
20,11,30,0,0,0,1
29,14,36,0,0,0,0
24,7,25,0,2392,1,0
47,14,31,0,0,1,0
45,7,27,14084,0,1,0
38,10,51,0,2392,1,1
37,7,24,0,0,0,0
18,9,40,0,0,1,0
48,7,35,0,0,0,0
42,10,54,0,0,1,0
63,11,28,0,0,0,0
45,14,68,0,0,1,0
43,10,44,0,0,1,0
37,9,38,0,0,1,0
30,9,45,0,0,1,0
45,9,37,0,0,0,0
47,7,30,0,0,1,0
31,9,57,0,0,0,0
24,9,51,0,0,1,0
62,9,49,0,0,1,1
31,7,39,0,0,1,0
32,13,61,0,0,1,1
49,8,32,0,0,1,0
50,5,48,0,0,1,0
40,13,47,0,0,1,0
35,15,20,0,0,1,1
35,7,38,0,0,1,0
32,9,20,0,0,1,0
47,13,41,0,0,0,0
30,5,44,0,0,1,0
37,9,54,0,1977,1,0
55,9,32,0,0,0,0
32,5,41,0,0,1,0
49,15,29,2174,0,1,1
48,7,53,0,0,1,0
36,9,63,0,0,1,1
30,13,20,0,0,1,0
36,9,52,0,0,1,0
22,15,39,0,0,0,1
42,6,31,0,0,1,0
52,9,59,0,0,1,0
55,10,44,0,0,0,0
29,10,41,0,0,1,0
39,13,32,0,0,1,1
56,7,25,0,0,1,0
31,11,59,0,0,1,1
54,11,50,0,0,1,0
18,12,34,0,0,1,1
41,11,36,0,0,1,0
40,7,33,0,0,1,1
58,13,45,0,0,1,1
31,9,22,7688,0,1,0
22,7,47,5178,0,1,0
56,7,31,0,0,0,0
54,11,60,0,0,0,1
27,5,25,0,0,1,0
84,15,52,0,0,1,1
34,9,56,0,0,1,0
33,9,33,7688,0,0,0
53,10,52,0,0,0,0
55,12,24,0,0,1,1
45,9,47,0,0,1,0
21,9,39,0,0,0,0
41,10,22,0,0,1,0
46,6,51,0,0,1,1
51,9,19,0,0,1,0
33,7,27,0,0,0,0
39,7,30,0,1902,1,1
53,7,42,0,0,1,1
32,9,42,5178,0,1,1
45,4,37,0,0,0,0
37,9,63,0,0,1,1
45,12,32,0,0,1,0
30,10,40,0,0,0,0
41,13,54,0,0,0,0
53,13,53,0,0,1,1
47,6,27,0,0,1,0
39,9,46,0,0,0,0
35,14,37,0,0,0,0
50,9,31,0,0,1,0
27,11,37,0,0,1,0
42,8,32,0,0,1,0
37,7,47,0,0,0,0
22,9,59,0,0,0,1
32,10,56,0,0,1,0
47,6,47,5178,0,0,0
32,11,34,0,0,1,0
36,9,28,0,0,1,1
44,11,48,7688,0,1,1
52,1,31,0,0,0,0
33,13,43,0,0,1,1
27,14,44,0,0,1,0
46,16,54,0,0,0,0
54,9,32,0,0,1,0
42,10,43,0,0,1,1
46,13,39,0,0,0,0
28,8,31,0,0,0,0
40,13,19,0,0,1,0
54,9,51,0,0,1,1
52,11,33,0,0,0,1
64,7,63,5178,0,0,0
49,9,42,0,2824,1,1
29,9,29,0,0,1,0
43,9,32,0,0,1,0
38,14,37,0,0,1,0
43,13,40,0,0,1,0
26,9,29,0,0,0,0
36,9,46,2174,0,1,1
49,9,39,0,0,0,0
60,9,49,0,0,1,0
24,13,41,0,0,1,0
59,13,42,0,0,1,0
50,13,40,0,0,1,1
34,9,37,15024,0,1,1
33,13,63,0,0,1,1
32,9,27,0,0,1,0
28,13,41,0,0,1,0
55,12,28,0,0,1,0
51,10,34,0,0,0,0
47,11,40,0,0,1,0
53,14,56,0,0,1,0
43,7,31,0,0,0,0
34,1,59,0,0,1,0
30,1,41,0,0,1,0
60,7,53,0,0,0,0
32,7,34,0,0,1,0
36,12,32,0,0,1,1
34,12,69,0,0,1,1
61,7,46,0,0,0,0
30,9,41,0,0,0,1
27,7,53,0,0,1,0
39,13,36,0,0,1,0
56,10,44,15024,2392,0,0
55,7,65,0,0,0,0
28,9,41,0,0,0,0
40,9,1,0,0,1,0
28,13,50,0,0,1,0
56,10,30,0,0,0,1
35,15,32,0,0,1,1
46,15,35,0,0,1,1
39,13,53,0,0,1,1
44,7,27,0,0,0,0
59,9,31,0,0,1,0
29,9,39,0,0,0,0
34,9,30,0,0,0,0
44,14,61,0,0,0,1
36,4,52,5178,0,1,0
31,14,29,15024,0,1,0
54,5,27,0,0,0,0
36,7,53,0,0,1,0
41,9,48,0,0,1,0
28,7,22,0,0,0,0
17,7,42,14084,0,1,0
36,7,36,0,0,1,1
24,9,44,0,0,0,1
40,9,44,0,0,1,0
38,7,20,0,0,1,0
36,10,39,0,0,0,0
48,9,45,0,0,1,0
18,9,44,0,0,1,0
43,7,24,0,0,0,0
44,6,38,0,0,1,0
47,14,37,0,0,0,0
41,9,42,0,0,0,0
75,9,50,0,0,1,0
43,5,45,0,0,1,0
39,5,63,0,0,0,1
34,13,52,0,0,0,0
26,10,45,0,0,0,0
48,12,30,0,0,0,1
54,13,48,15024,0,1,1
38,13,52,0,0,1,0
60,7,41,0,0,1,0
46,9,41,0,0,1,1
47,10,55,0,0,0,0
42,13,40,0,0,1,1
54,9,38,0,0,1,0
55,9,34,0,0,1,0
57,15,42,0,0,1,1
20,9,11,0,0,0,0
50,7,42,0,0,1,0
71,10,44,0,0,1,1
25,5,25,0,0,1,0
26,5,51,7688,0,1,0
22,11,44,0,0,0,0
34,9,34,0,0,1,0
50,7,43,0,0,0,0
41,9,30,0,0,1,0
48,9,47,14084,0,1,0
31,7,49,2174,0,1,0
43,8,23,0,0,1,0
60,14,34,0,0,1,1
47,13,44,2174,0,1,1
35,7,40,0,0,0,0
34,13,38,0,0,1,0
26,10,29,0,0,0,0
52,4,45,0,0,1,0
37,9,35,7688,0,1,1
49,13,54,0,0,1,0
28,13,58,0,2392,1,1
17,13,50,0,0,1,0
55,2,25,0,0,1,0
55,15,43,0,0,1,0
42,3,28,0,0,1,0
24,6,48,2174,0,0,0
39,7,21,0,1902,1,0
39,2,55,0,0,1,0
39,4,48,0,0,1,0
48,11,40,0,0,1,0
58,7,44,5178,0,1,0
34,13,40,0,0,0,0
43,10,33,0,0,0,0
75,9,39,0,0,1,0
49,7,39,0,0,0,0
54,14,43,5178,0,1,1
60,9,52,0,0,1,0
37,12,41,0,0,1,1
24,13,38,0,0,1,1
48,14,44,5178,0,1,1
50,12,32,0,0,1,1
34,4,46,2174,0,0,0
27,9,57,0,2392,0,0
54,7,39,0,0,1,1
32,4,36,0,0,0,0
27,13,49,0,0,1,0
25,3,40,0,0,1,0
29,5,41,0,0,1,0
46,9,48,0,0,0,0
59,13,39,0,0,1,0
20,9,39,15024,0,1,0
33,7,52,0,0,1,0
54,14,52,0,0,1,0
37,13,34,0,0,1,0
46,12,34,0,0,1,0
39,9,30,5178,0,1,0
33,13,66,0,0,1,0
46,9,42,0,0,1,0
42,13,57,0,0,0,0
38,6,51,0,0,1,0
36,7,22,0,0,0,0
38,7,43,0,0,1,1
43,13,53,0,0,1,0
41,13,49,0,0,1,1
60,7,38,0,0,1,0
48,6,25,0,0,1,0
54,9,41,0,0,0,0
28,9,49,0,0,0,0
19,7,51,0,0,0,0
24,13,32,0,0,1,1
52,14,27,0,0,1,0
34,5,21,0,0,1,0
38,10,62,2174,0,0,0
39,9,42,0,0,1,0
28,11,51,0,0,0,0
45,14,47,0,0,1,1
33,9,31,0,0,0,0
45,13,13,0,0,0,0
31,9,25,0,0,1,0
57,7,23,0,0,1,0
31,13,36,0,0,1,0
35,9,23,0,0,0,0
36,9,66,0,0,1,1
30,13,22,0,0,0,1
45,4,55,0,0,1,0
37,14,27,0,0,0,1
59,11,30,0,0,1,1
35,13,51,0,0,1,1
32,13,41,0,0,1,0
32,12,45,0,0,0,0
44,13,36,0,0,1,1
25,13,38,0,0,0,0
27,12,46,0,0,0,1
33,9,25,0,0,1,0
32,7,36,7688,0,0,0
19,13,43,0,0,0,0
25,9,40,5178,0,1,0
46,9,46,0,0,1,0
30,9,40,0,0,0,0
35,16,41,0,0,0,0
28,9,35,0,0,1,0
31,11,33,0,0,1,0
43,12,54,0,0,1,0
26,7,43,0,0,1,0
49,9,64,0,0,0,0
25,9,26,0,0,1,0
45,10,45,0,0,0,0
46,9,29,0,0,1,0
39,10,32,0,0,1,0
32,13,38,7688,0,1,0
36,9,41,0,0,1,0
23,13,27,0,0,1,1
43,10,13,0,0,1,0
54,7,33,0,0,1,0
20,11,50,0,0,0,0
48,9,52,0,0,1,0
64,11,41,0,0,1,1
50,10,35,0,0,0,0
26,9,56,14084,0,0,1
28,13,45,0,0,0,0
29,14,36,0,0,1,0
39,10,43,0,0,1,0
53,9,48,0,0,1,0
38,13,43,0,0,1,0
22,9,58,0,0,0,0
50,9,35,0,0,0,1
39,14,26,0,0,1,0
22,9,24,0,0,1,0
43,7,38,2174,0,1,0
41,9,45,0,0,1,0
38,7,37,2174,0,1,0
34,9,26,0,0,1,0
32,5,46,0,0,0,0
29,9,41,0,0,1,0
39,13,38,0,0,1,1
52,13,30,0,0,0,0
24,12,38,2174,0,1,0
51,7,54,0,0,1,0
24,7,21,0,0,0,0
38,11,39,0,0,1,0
24,16,37,0,0,1,1
55,11,36,0,0,1,0
51,10,55,0,0,0,0
55,10,20,0,0,0,0
30,10,47,7688,0,1,0
18,9,55,15024,0,0,0
35,14,44,7688,0,1,0
49,9,42,0,0,1,1
55,6,53,0,0,1,0
30,8,50,0,0,1,0
46,9,52,0,0,0,0
22,6,27,0,0,1,0
26,13,29,0,0,1,1
28,5,36,0,0,1,0
37,9,36,0,0,1,0
28,11,42,0,0,1,0
38,6,30,0,0,1,0
43,7,34,0,0,1,0
53,9,54,0,0,0,0
17,9,44,0,0,1,0
44,7,45,0,0,1,1
21,13,44,0,0,0,0
24,9,33,0,0,0,0
40,9,40,0,0,1,0
29,9,42,0,0,1,0
31,7,56,0,0,1,0
30,7,45,0,0,1,1
39,9,27,0,1902,1,0
26,7,38,2174,0,0,0
50,9,53,0,0,1,0
21,11,17,0,0,1,1
47,13,17,0,0,0,0
28,9,50,0,0,0,0
39,9,23,99999,0,1,1
43,14,33,0,0,0,0
56,14,17,0,0,1,0
33,9,27,0,0,1,1
31,7,40,0,0,1,0
43,7,44,0,0,0,0
75,14,52,0,0,0,1
55,7,27,0,0,0,0
22,10,24,7688,0,1,0
39,11,38,0,0,1,0
35,16,31,0,0,1,0
55,7,31,0,0,0,0
30,12,60,15024,0,1,1
80,9,31,0,0,1,1
35,13,20,0,0,1,0
39,9,24,0,0,0,0
39,9,38,99999,0,0,1
17,7,30,0,0,1,0
35,9,33,0,0,1,0
47,12,29,0,0,1,0
48,9,58,0,0,0,0
30,9,57,0,0,0,0
40,13,41,0,0,1,0
46,9,53,0,0,1,1
38,6,54,0,0,0,0
22,8,35,0,0,0,0
46,12,30,0,0,1,0
32,9,42,15024,2392,0,0
37,13,49,14084,0,1,0
43,9,54,0,0,1,1
39,10,37,0,0,1,0
45,2,33,0,0,1,0
67,7,55,0,0,0,0
33,5,39,0,0,1,0
25,11,48,2174,0,1,0
31,14,49,0,0,0,0
42,14,57,0,0,1,0
39,9,50,0,0,0,0
61,13,59,0,0,1,1
39,9,33,0,0,0,0
27,9,43,0,2824,0,0
31,9,38,0,0,1,1
61,14,56,0,0,1,1
37,12,44,0,0,1,0
46,10,49,0,0,1,0
43,9,42,0,0,1,0
32,9,32,0,0,1,0
47,12,46,0,0,1,1
32,5,37,0,0,0,0
51,7,58,0,0,1,1
37,13,41,0,0,1,0
23,9,55,0,0,0,0
36,14,34,0,0,0,0
28,13,57,0,0,1,1
54,7,60,0,0,0,0
38,9,45,0,0,1,0
27,10,24,99999,0,1,1
35,9,54,0,0,1,0
36,9,53,99999,0,1,1
44,9,33,0,0,1,0
66,10,35,0,0,1,0
35,9,29,0,0,0,0
45,10,36,0,0,1,0
51,10,30,0,0,1,0
60,10,23,14084,0,0,1
25,7,43,5178,0,1,0
39,13,48,0,0,1,1
